NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines,EstCode
H5,840,2020,030495,      6.00,      0.00,      6.00,      3.00,0,1,0,1,2,2,U2 
H5,840,2020,030496,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1,U2 
H5,840,2020,030497,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1,U2 
H5,840,2020,030499,      6.00,      0.00,      6.00,      3.00,0,1,0,1,2,2,U2 
H5,840,2020,030510,      6.00,      0.00,      6.00,      3.00,0,1,0,1,2,2,U2 
H5,840,2020,030520,      7.50,      0.00,      7.50,      3.75,0,1,0,1,2,2,U2 
H5,840,2020,030531,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030532,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030539,      9.00,      0.00,      5.00,      3.00,0,1,0,2,3,3,U2 
H5,840,2020,030541,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1,U2 
H5,840,2020,030542,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030543,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030544,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030549,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2,U2 
H5,840,2020,030551,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030552,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030553,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030554,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030559,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030561,      4.00,      0.00,      4.00,      2.00,0,1,0,1,2,2,U2 
H5,840,2020,030562,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030563,      5.00,      0.00,      5.00,      1.67,0,2,0,1,3,3,U2 
H5,840,2020,030564,      0.50,      0.00,      0.50,      0.25,0,1,0,1,2,2,U2 
H5,840,2020,030569,      8.50,      0.00,      5.00,      1.42,0,3,0,3,6,6,U2 
H5,840,2020,030571,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030572,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
